x,y,z,price,floor_count,floor_number,apartment_type,age_of_property,main_entrance_facing,built_up_area,bedroom_count,bathroom_count,has_swimming_pool,has_gym,number_of_lifts,parking_count,has_gas_pipeline,has_servant_room,power_backup_type,is_gated_community,security_type
1776.9060031004287,5747.6617329607225,2096.814407525044,14000000,15,2,2,1,0,1150,2,2,0,0,2,1,0,1,0,1,2
1775.01198683212,5749.990998193371,2092.026999657869,11000000,22,12,0,0,4,775,1,2,0,0,3,0,0,0,0,1,0
1775.1608548600584,5749.50549871399,2093.234688139412,11300000,16,13,0,0,4,785,1,2,0,0,2,0,0,0,0,0,1
1772.004270576307,5748.118867939714,2099.7074427392963,14200000,22,9,2,0,7,1050,2,2,0,0,2,2,0,0,0,1,2
1773.3882096782918,5748.0201152499885,2098.809189148821,16000000,22,14,3,0,5,1250,3,2,0,0,2,0,0,0,0,0,2
1775.3177194972245,5750.26741935547,2091.007556356063,15400000,10,2,2,0,6,1145,2,2,0,0,2,0,0,0,0,1,1
1775.6965547200007,5748.022321702028,2096.8505275223465,9000000,9,5,0,1,1,650,1,2,0,0,1,1,0,0,0,1,1
1772.33905553211,5749.990172799942,2094.294221197116,4700000,8,5,1,0,4,350,1,1,0,0,1,0,0,0,0,1,2
1772.7892953071528,5747.5705167518845,2100.5457075266995,13600000,8,2,2,1,1,1000,2,2,0,0,1,0,0,0,0,1,1
1776.0334407966168,5750.029174571436,2091.0549272435346,15000000,22,9,2,0,4,1070,2,2,0,0,2,0,0,0,0,1,0
1777.4012795367682,5748.052844744792,2095.3219765760023,12000000,24,4,2,1,2,1000,2,2,1,0,2,1,1,0,0,1,0
1771.519188710275,5754.445433114117,2082.7190212180276,15000000,14,13,2,0,1,1290,2,2,0,0,2,1,0,0,0,1,1
1775.6755523120626,5748.021570410152,2096.8703724886923,12000000,9,5,2,1,5,850,2,2,0,0,1,1,0,0,0,1,1
